INFO:root:Topic 0
INFO:root:1790 : 0.000201 
INFO:root:42255 : 0.000201 
INFO:root:21478 : 0.000201 
INFO:root:44759 : 0.000201 
INFO:root:43589 : 0.000201 
INFO:root:22192 : 0.000200 
INFO:root:18598 : 0.000200 
INFO:root:30457 : 0.000200 
INFO:root:8407 : 0.000200 
INFO:root:3631 : 0.000200 
INFO:root:3137 : 0.000199 
INFO:root:29013 : 0.000199 
INFO:root:33748 : 0.000199 
INFO:root:1068 : 0.000198 
INFO:root:10944 : 0.000198 
INFO:root:1261 : 0.000198 
INFO:root:1609 : 0.000198 
INFO:root:14244 : 0.000198 
INFO:root:19571 : 0.000197 
INFO:root:2908 : 0.000197 
INFO:root:16907 : 0.000197 
INFO:root:19194 : 0.000197 
INFO:root:9902 : 0.000195 
INFO:root:21777 : 0.000195 
INFO:root:9914 : 0.000195 
INFO:root:47466 : 0.000195 
INFO:root:31000 : 0.000195 
INFO:root:34698 : 0.000195 
INFO:root:2260 : 0.000194 
INFO:root:18296 : 0.000194 
INFO:root:24553 : 0.000194 
INFO:root:31886 : 0.000194 
INFO:root:28957 : 0.000194 
INFO:root:21579 : 0.000194 
INFO:root:29618 : 0.000193 
INFO:root:25722 : 0.000193 
INFO:root:1251 : 0.000193 
INFO:root:44120 : 0.000192 
INFO:root:3298 : 0.000192 
INFO:root:2902 : 0.000192 
INFO:root:1078 : 0.000191 
